Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Fiat,Tipo,,White,Benzine,8,2.5,Automatic,515.0,El Haram,1,1
Chevrolet,Aveo,,Red,Benzine,15,2.5,Manual,155.0,Cairo,1,15
Chevrolet,N300,,Dark red,Benzine,3,2.5,Manual,315.0,Kafr el-Sheikh,1,1
Hyundai,Accent,,Blue,Benzine,18,2.5,Manual,120.0,Al Shorouk,1,14
Hyundai,IX 35,,Black,Benzine,15,2.5,Automatic,500.0,Gharbia,1,10
Chevrolet,Optra,,Dark red,Benzine,20,2.5,Automatic,253.0,Giza,1,10
Chevrolet,Optra,,Gray,Benzine,9,2.5,Automatic,330.0,Marsa Matrouh,1,4
Hyundai,Elantra HD,,Red,Benzine,18,2.5,Automatic,350.0,10th of Ramadan,1,6
Hyundai,Accent RB,,Red,Benzine,11,2.5,Automatic,279.0,El Haram,1,10
Hyundai,Matrix,,Black,Benzine,14,2.5,Automatic,260.0,Alexandria,1,15
Fiat,Tipo,,White,Benzine,3,2.5,Automatic,560.0,Nasr city,1,2
Fiat,Tipo,,Silver,Benzine,2,2.5,Automatic,525.0,Tagamo3 - New Cairo,1,2
Fiat,Tipo,,Dark green,Benzine,5,2.5,Automatic,515.0,Cairo,1,2
Hyundai,Verna,,Dark red,Benzine,15,2.5,Automatic,210.0,Banha,1,11
Hyundai,Elantra MD,,Black,Benzine,12,2.5,Automatic,350.0,Minya Al Qamh,1,11
Chevrolet,Optra,,Silver,Benzine,3,2.5,Automatic,410.0,Alexandria,1,1
Chevrolet,T-Series,,White,Natural Gas,7,2.5,Manual,102.0,Warraq,1,28
Chevrolet,N300,,Silver,Benzine,2,2.5,Manual,277.0,Warraq,1,2
Chevrolet,Optra,,Silver,Benzine,17,2.5,Automatic,260.0,Alexandria,1,10
